--- New simulation start ---
It: 280 | Pl: 48, Herb: 0, Pred: 2, Apex: 0
It: 300 | Pl: 57, Herb: 0, Pred: 1, Apex: 0
It: 320 | Pl: 59, Herb: 0, Pred: 1, Apex: 0
It: 340 | Pl: 68, Herb: 0, Pred: 1, Apex: 0
It: 360 | Pl: 74, Herb: 0, Pred: 1, Apex: 0
It: 380 | Pl: 82, Herb: 0, Pred: 1, Apex: 0
It: 400 | Pl: 86, Herb: 0, Pred: 1, Apex: 0
It: 20 | Pl: 67, Herb: 31, Pred: 5, Apex: 0
It: 40 | Pl: 54, Herb: 32, Pred: 5, Apex: 0
It: 60 | Pl: 44, Herb: 33, Pred: 4, Apex: 0
It: 80 | Pl: 38, Herb: 38, Pred: 3, Apex: 0
It: 100 | Pl: 27, Herb: 38, Pred: 3, Apex: 0
It: 120 | Pl: 19, Herb: 41, Pred: 3, Apex: 0
It: 140 | Pl: 11, Herb: 38, Pred: 3, Apex: 0
It: 160 | Pl: 11, Herb: 28, Pred: 3, Apex: 0
It: 180 | Pl: 12, Herb: 19, Pred: 2, Apex: 0
It: 200 | Pl: 14, Herb: 18, Pred: 2, Apex: 0
It: 220 | Pl: 17, Herb: 16, Pred: 2, Apex: 0
It: 240 | Pl: 14, Herb: 15, Pred: 2, Apex: 0
It: 260 | Pl: 18, Herb: 10, Pred: 2, Apex: 0
It: 280 | Pl: 19, Herb: 9, Pred: 2, Apex: 0
It: 300 | Pl: 26, Herb: 6, Pred: 2, Apex: 0
It: 320 | Pl: 35, Herb: 3, Pred: 2, Apex: 0
It: 340 | Pl: 40, Herb: 2, Pred: 1, Apex: 0
It: 360 | Pl: 42, Herb: 3, Pred: 1, Apex: 0
It: 380 | Pl: 45, Herb: 5, Pred: 1, Apex: 0
It: 400 | Pl: 46, Herb: 9, Pred: 1, Apex: 0
It: 20 | Pl: 73, Herb: 36, Pred: 5, Apex: 0
It: 40 | Pl: 53, Herb: 41, Pred: 4, Apex: 0
It: 60 | Pl: 40, Herb: 47, Pred: 4, Apex: 0
It: 80 | Pl: 22, Herb: 38, Pred: 4, Apex: 0
It: 100 | Pl: 19, Herb: 35, Pred: 4, Apex: 0
It: 120 | Pl: 13, Herb: 24, Pred: 4, Apex: 0
It: 140 | Pl: 16, Herb: 16, Pred: 4, Apex: 0
It: 160 | Pl: 16, Herb: 8, Pred: 4, Apex: 0
It: 180 | Pl: 16, Herb: 7, Pred: 4, Apex: 0
It: 200 | Pl: 19, Herb: 0, Pred: 4, Apex: 0
It: 220 | Pl: 26, Herb: 0, Pred: 4, Apex: 0
It: 240 | Pl: 33, Herb: 0, Pred: 3, Apex: 0
It: 260 | Pl: 39, Herb: 0, Pred: 3, Apex: 0
It: 280 | Pl: 46, Herb: 0, Pred: 2, Apex: 0
It: 300 | Pl: 50, Herb: 0, Pred: 2, Apex: 0
It: 320 | Pl: 56, Herb: 0, Pred: 1, Apex: 0
It: 340 | Pl: 62, Herb: 0, Pred: 1, Apex: 0
It: 20 | Pl: 60, Herb: 43, Pred: 3, Apex: 2
It: 40 | Pl: 40, Herb: 57, Pred: 2, Apex: 1
It: 60 | Pl: 26, Herb: 60, Pred: 2, Apex: 0
It: 80 | Pl: 19, Herb: 40, Pred: 2, Apex: 0
It: 100 | Pl: 11, Herb: 32, Pred: 2, Apex: 0
It: 120 | Pl: 14, Herb: 17, Pred: 2, Apex: 0
It: 140 | Pl: 16, Herb: 8, Pred: 2, Apex: 0
It: 160 | Pl: 23, Herb: 8, Pred: 2, Apex: 0
It: 180 | Pl: 22, Herb: 8, Pred: 1, Apex: 0
It: 200 | Pl: 26, Herb: 8, Pred: 1, Apex: 0
It: 220 | Pl: 29, Herb: 4, Pred: 1, Apex: 0
It: 240 | Pl: 34, Herb: 4, Pred: 1, Apex: 0
It: 260 | Pl: 38, Herb: 5, Pred: 1, Apex: 0
It: 280 | Pl: 45, Herb: 3, Pred: 1, Apex: 0
It: 300 | Pl: 56, Herb: 0, Pred: 1, Apex: 0
It: 320 | Pl: 67, Herb: 0, Pred: 1, Apex: 0
It: 340 | Pl: 73, Herb: 0, Pred: 1, Apex: 0
It: 360 | Pl: 77, Herb: 0, Pred: 1, Apex: 0
It: 380 | Pl: 84, Herb: 0, Pred: 1, Apex: 0
It: 400 | Pl: 93, Herb: 0, Pred: 1, Apex: 0
It: 20 | Pl: 69, Herb: 27, Pred: 4, Apex: 1
It: 40 | Pl: 37, Herb: 48, Pred: 4, Apex: 0
It: 60 | Pl: 27, Herb: 46, Pred: 4, Apex: 0
It: 80 | Pl: 20, Herb: 33, Pred: 4, Apex: 0
It: 100 | Pl: 24, Herb: 28, Pred: 4, Apex: 0
It: 120 | Pl: 22, Herb: 16, Pred: 3, Apex: 0
It: 140 | Pl: 26, Herb: 13, Pred: 3, Apex: 0
It: 160 | Pl: 31, Herb: 6, Pred: 3, Apex: 0
It: 180 | Pl: 35, Herb: 4, Pred: 3, Apex: 0
It: 200 | Pl: 42, Herb: 2, Pred: 3, Apex: 0
It: 220 | Pl: 47, Herb: 1, Pred: 3, Apex: 0
It: 240 | Pl: 52, Herb: 3, Pred: 3, Apex: 0
It: 260 | Pl: 59, Herb: 3, Pred: 3, Apex: 0
It: 280 | Pl: 62, Herb: 2, Pred: 1, Apex: 0
It: 300 | Pl: 64, Herb: 2, Pred: 1, Apex: 0
It: 320 | Pl: 71, Herb: 0, Pred: 1, Apex: 0
It: 340 | Pl: 78, Herb: 0, Pred: 1, Apex: 0
It: 360 | Pl: 82, Herb: 0, Pred: 1, Apex: 0
It: 380 | Pl: 89, Herb: 0, Pred: 1, Apex: 0
It: 400 | Pl: 91, Herb: 0, Pred: 1, Apex: 0
It: 20 | Pl: 61, Herb: 35, Pred: 4, Apex: 1
It: 40 | Pl: 35, Herb: 42, Pred: 4, Apex: 0
It: 60 | Pl: 22, Herb: 45, Pred: 4, Apex: 0
It: 80 | Pl: 16, Herb: 34, Pred: 4, Apex: 0
It: 100 | Pl: 16, Herb: 23, Pred: 4, Apex: 0
It: 120 | Pl: 19, Herb: 11, Pred: 3, Apex: 0
It: 140 | Pl: 23, Herb: 7, Pred: 3, Apex: 0
It: 160 | Pl: 26, Herb: 6, Pred: 3, Apex: 0
It: 180 | Pl: 29, Herb: 4, Pred: 3, Apex: 0
It: 200 | Pl: 38, Herb: 4, Pred: 3, Apex: 0
It: 220 | Pl: 41, Herb: 3, Pred: 3, Apex: 0
It: 240 | Pl: 45, Herb: 2, Pred: 3, Apex: 0
It: 260 | Pl: 50, Herb: 1, Pred: 2, Apex: 0
It: 280 | Pl: 56, Herb: 1, Pred: 1, Apex: 0
It: 300 | Pl: 59, Herb: 1, Pred: 1, Apex: 0
It: 320 | Pl: 65, Herb: 1, Pred: 1, Apex: 0
It: 340 | Pl: 69, Herb: 1, Pred: 1, Apex: 0
It: 360 | Pl: 76, Herb: 1, Pred: 1, Apex: 0
It: 380 | Pl: 77, Herb: 4, Pred: 1, Apex: 0
It: 400 | Pl: 77, Herb: 9, Pred: 1, Apex: 0
It: 20 | Pl: 56, Herb: 41, Pred: 4, Apex: 1
It: 40 | Pl: 47, Herb: 41, Pred: 4, Apex: 0
It: 60 | Pl: 40, Herb: 28, Pred: 4, Apex: 0
It: 80 | Pl: 38, Herb: 15, Pred: 4, Apex: 0
It: 100 | Pl: 42, Herb: 7, Pred: 4, Apex: 0
It: 120 | Pl: 46, Herb: 3, Pred: 4, Apex: 0
It: 140 | Pl: 53, Herb: 1, Pred: 4, Apex: 0
It: 160 | Pl: 55, Herb: 1, Pred: 3, Apex: 0
It: 180 | Pl: 60, Herb: 1, Pred: 3, Apex: 0
It: 200 | Pl: 67, Herb: 1, Pred: 3, Apex: 0
It: 220 | Pl: 73, Herb: 1, Pred: 3, Apex: 0
It: 240 | Pl: 80, Herb: 1, Pred: 2, Apex: 0
It: 260 | Pl: 84, Herb: 1, Pred: 2, Apex: 0
It: 280 | Pl: 91, Herb: 1, Pred: 2, Apex: 0
It: 300 | Pl: 97, Herb: 1, Pred: 2, Apex: 0
It: 320 | Pl: 105, Herb: 1, Pred: 2, Apex: 0
It: 340 | Pl: 112, Herb: 1, Pred: 2, Apex: 0
It: 360 | Pl: 119, Herb: 1, Pred: 1, Apex: 0
It: 380 | Pl: 120, Herb: 0, Pred: 1, Apex: 0
It: 400 | Pl: 120, Herb: 0, Pred: 1, Apex: 0
It: 20 | Pl: 74, Herb: 35, Pred: 4, Apex: 1
It: 40 | Pl: 59, Herb: 45, Pred: 3, Apex: 0
It: 60 | Pl: 45, Herb: 49, Pred: 3, Apex: 0
It: 80 | Pl: 31, Herb: 47, Pred: 3, Apex: 0
It: 100 | Pl: 26, Herb: 37, Pred: 3, Apex: 0
It: 120 | Pl: 17, Herb: 38, Pred: 3, Apex: 0
It: 140 | Pl: 8, Herb: 38, Pred: 3, Apex: 0
It: 160 | Pl: 12, Herb: 29, Pred: 1, Apex: 0
It: 180 | Pl: 14, Herb: 13, Pred: 1, Apex: 0
It: 200 | Pl: 21, Herb: 8, Pred: 1, Apex: 0
It: 220 | Pl: 27, Herb: 5, Pred: 1, Apex: 0
It: 240 | Pl: 31, Herb: 2, Pred: 1, Apex: 0
It: 260 | Pl: 37, Herb: 2, Pred: 1, Apex: 0
It: 280 | Pl: 43, Herb: 1, Pred: 1, Apex: 0
It: 300 | Pl: 49, Herb: 0, Pred: 1, Apex: 0
It: 320 | Pl: 59, Herb: 0, Pred: 1, Apex: 0
It: 340 | Pl: 63, Herb: 0, Pred: 1, Apex: 0
It: 360 | Pl: 72, Herb: 0, Pred: 1, Apex: 0
It: 380 | Pl: 82, Herb: 0, Pred: 1, Apex: 0
It: 400 | Pl: 90, Herb: 0, Pred: 1, Apex: 0
It: 20 | Pl: 61, Herb: 44, Pred: 3, Apex: 1
It: 40 | Pl: 47, Herb: 51, Pred: 2, Apex: 0
It: 60 | Pl: 48, Herb: 43, Pred: 2, Apex: 0
It: 80 | Pl: 45, Herb: 23, Pred: 2, Apex: 0
It: 100 | Pl: 36, Herb: 26, Pred: 2, Apex: 0
It: 120 | Pl: 32, Herb: 24, Pred: 2, Apex: 0
It: 140 | Pl: 36, Herb: 18, Pred: 2, Apex: 0
It: 160 | Pl: 24, Herb: 19, Pred: 2, Apex: 0
It: 180 | Pl: 20, Herb: 24, Pred: 2, Apex: 0
It: 200 | Pl: 22, Herb: 24, Pred: 2, Apex: 0
It: 220 | Pl: 20, Herb: 15, Pred: 2, Apex: 0
It: 240 | Pl: 24, Herb: 11, Pred: 2, Apex: 0
It: 260 | Pl: 29, Herb: 6, Pred: 1, Apex: 0
It: 280 | Pl: 30, Herb: 6, Pred: 1, Apex: 0
It: 300 | Pl: 27, Herb: 12, Pred: 1, Apex: 0
It: 320 | Pl: 25, Herb: 12, Pred: 1, Apex: 0
It: 340 | Pl: 24, Herb: 17, Pred: 1, Apex: 0
It: 360 | Pl: 28, Herb: 14, Pred: 1, Apex: 0
